0,200,0 -.2 -.3 0
27
4 0,0,0 0,100,0 100,100,0 100,0,0 C 255,0,0
4 100,0,0 100,100,0 200,100,0 200,0,0 C 0,255,0
4 200,0,0 200,100,0 300,100,0 300,0,0 C 0,0,255
4 0,100,0 0,200,0 100,200,0 100,100,0 C 255,255,0
4 100,100,0 100,200,0 200,200,0 200,100,0 C 0,255,255
4 200,100,0 200,200,0 300,200,0 300,100,0 C 255,0,255
4 0,200,0 0,300,0 100,300,0 100,200,0 C 255,0,0
4 100,200,0 100,300,0 200,300,0 200,200,0 C 0,255,0
4 200,200,0 200,300,0 300,300,0 300,200,0 C 0,0,255

4 0,0,0 0,100,0 0,100,100 0,0,100 C 255,255,0
4 0,0,100 0,100,100 0,100,200 0,0,200 C 0,255,255
4 0,0,200 0,100,200 0,100,300 0,0,300 C 255,0,255
4 0,100,0 0,200,0 0,200,100 0,100,100 C 255,0,0
4 0,100,100 0,200,100 0,200,200 0,100,200 C 0,255,0
4 0,100,200 0,200,200 0,200,300 0,100,300 C 0,0,255
4 0,200,0 0,300,0 0,300,100 0,200,100 C 255,255,0
4 0,200,100 0,300,100 0,300,200 0,200,200 C 0,255,255
4 0,200,200 0,300,200 0,300,300 0,200,300 C 255,0,255

4 0,300,0 0,300,100 100,300,100 100,300,0 C 0,0,255
4 100,300,0 100,300,100 200,300,100 200,300,0 C 255,0,255
4 200,300,0 200,300,100 300,300,100 300,300,0 C 255,0,0
4 0,300,100 0,300,200 100,300,200 100,300,100 C 255,255,0
4 100,300,100 100,300,200 200,300,200 200,300,100 C 0,255,255
4 200,300,100 200,300,200 300,300,200 300,300,100 C 0,255,0
4 0,300,200 0,300,300 100,300,300 100,300,200 C 255,0,0
4 100,300,200 100,300,300 200,300,300 200,300,200 C 0,255,0
4 200,300,200 200,300,300 300,300,300 300,300,200 C 0,0,255
